;Index,County,YEAR,HH,HH_Pop,HH_Size,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,CoName
112046,11,2046,175795,472794,2.69,278297,25830,14397,10708,13823,35415,48637,22266,71204,670,471,22355,12521,Davis County
112047,11,2047,177374,476664,2.69,281036,25993,14546,10644,13895,36167,48989,22476,71948,667,470,22566,12675,Davis County
112048,11,2048,178985,480409,2.68,283764,26155,14695,10579,13965,36919,49337,22685,72689,665,468,22776,12831,Davis County
112049,11,2049,180561,484035,2.68,286481,26317,14844,10514,14034,37670,49682,22894,73428,661,466,22985,12986,Davis County
112050,11,2050,182148,487564,2.68,289191,26476,14993,10447,14104,38423,50027,23102,74164,659,465,23193,13138,Davis County
112051,11,2051,183756,491126,2.67,291891,26627,15138,10387,14163,39245,50354,23291,74898,657,463,23372,13296,Davis County
112052,11,2052,185371,494605,2.67,294584,26775,15282,10327,14221,40069,50679,23479,75630,656,461,23551,13454,Davis County
112053,11,2053,187058,497996,2.66,297269,26923,15426,10265,14280,40891,51002,23668,76360,655,459,23729,13611,Davis County
112054,11,2054,188785,501315,2.66,299947,27073,15570,10203,14338,41714,51324,23855,77087,653,457,23907,13766,Davis County
112055,11,2055,190571,504604,2.65,302616,27221,15713,10141,14395,42535,51644,24041,77813,652,455,24083,13923,Davis County
112056,11,2056,192332,507886,2.64,305276,27365,15856,10077,14452,43357,51962,24227,78536,651,453,24259,14081,Davis County
112057,11,2057,194150,511175,2.63,307925,27509,15999,10014,14507,44178,52278,24412,79257,649,451,24434,14237,Davis County
112058,11,2058,196003,514486,2.62,310563,27652,16140,9949,14563,44998,52593,24596,79975,648,449,24608,14392,Davis County
112059,11,2059,197898,517826,2.62,313188,27794,16282,9885,14618,45816,52904,24779,80690,646,447,24781,14546,Davis County
112060,11,2060,199847,521212,2.61,315797,27936,16422,9819,14672,46633,53213,24961,81400,645,445,24953,14698,Davis County
351990,35,1990,241383,715611,2.96,456404,52177,26734,48732,46687,42710,72271,29260,95146,1089,2925,21205,17468,Salt Lake County
351991,35,1991,246791,732508,2.97,476739,54014,27762,49510,48042,45777,74444,30541,100981,1079,2912,23305,18372,Salt Lake County
