,scenarioID,PERIOD,TRIPPURP,MODE,TRIPS,tdmVersionWithDate,scenarioName,scenarioGroup,scenarioYear,modeGroup
122,1.0,ok,HBC,LCL,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,LCL
123,1.0,ok,HBC,LCL,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
124,1.0,ok,HBO,LCL,9944,WF TDM v9.1.0 - official,BY_2019,BY,2019,LCL
125,1.0,ok,HBO,LCL,9944,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
126,1.0,ok,NHB,LCL,2354,WF TDM v9.1.0 - official,BY_2019,BY,2019,LCL
127,1.0,ok,NHB,LCL,2354,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
128,1.0,ok,HBSch,LCL,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,LCL
129,1.0,ok,HBSch,LCL,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
130,1.0,ok,HBW,COR,85,WF TDM v9.1.0 - official,BY_2019,BY,2019,COR
131,1.0,ok,HBW,COR,85,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
132,1.0,ok,HBC,COR,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,COR
133,1.0,ok,HBC,COR,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
134,1.0,ok,HBO,COR,261,WF TDM v9.1.0 - official,BY_2019,BY,2019,COR
135,1.0,ok,HBO,COR,261,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
136,1.0,ok,NHB,COR,59,WF TDM v9.1.0 - official,BY_2019,BY,2019,COR
137,1.0,ok,NHB,COR,59,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
138,1.0,ok,HBSch,COR,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,COR
139,1.0,ok,HBSch,COR,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
140,1.0,ok,HBW,BRT,972,WF TDM v9.1.0 - official,BY_2019,BY,2019,BRT
141,1.0,ok,HBW,BRT,972,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
142,1.0,ok,HBC,BRT,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,BRT
143,1.0,ok,HBC,BRT,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
144,1.0,ok,HBO,BRT,938,WF TDM v9.1.0 - official,BY_2019,BY,2019,BRT
